raceid,keyrace,uncontested,first,last,gender,party,winner,votes,pct
CAH48,TRUE,FALSE,Dana,Rohrabacher,male,R,FALSE,127837,46.7
CAH49,TRUE,FALSE,Mike,Levin,male,D,TRUE,150536,56
CAH49,TRUE,FALSE,Diane,Harkey,female,R,FALSE,118360,44
CAH50,TRUE,FALSE,Duncan,Hunter,male,R,TRUE,121189,52.2
CAH50,TRUE,FALSE,Ammar,Campa-Najjar,male,D,FALSE,111095,47.8
CAH51,FALSE,FALSE,Juan,Vargas,male,D,TRUE,93477,70.3
CAH51,FALSE,FALSE,Juan,Hidalgo,male,R,FALSE,39413,29.7
CAH52,FALSE,FALSE,Scott,Peters,male,D,TRUE,171127,63.6
CAH52,FALSE,FALSE,Omar,Qudrat,male,R,FALSE,98072,36.4
CAH53,FALSE,FALSE,Susan,Davis,female,D,TRUE,163702,68.5
CAH53,FALSE,FALSE,Morgan,Murtaugh,male,R,FALSE,75364,31.5
COH01,FALSE,FALSE,Diana,DeGette,female,D,TRUE,272886,73.8
COH01,FALSE,FALSE,Casper,Stockham,male,R,FALSE,85205,23
COH02,FALSE,FALSE,Joe,Neguse,male,D,TRUE,259558,60.3
COH02,FALSE,FALSE,Peter,Yu,male,R,FALSE,144866,33.6
COH03,FALSE,FALSE,Scott,Tipton,male,R,TRUE,171984,51.5
COH03,FALSE,FALSE,Diane,Mitsch Bush,female,D,FALSE,145638,43.6
COH04,FALSE,FALSE,Ken,Buck,male,R,TRUE,224013,60.6
COH04,FALSE,FALSE,Karen,McCormick,female,D,FALSE,145545,39.4
COH05,FALSE,FALSE,Doug,Lamborn,male,R,TRUE,181356,57.2
COH05,FALSE,FALSE,Stephany,Spaulding,female,D,FALSE,124101,39.2
COH06,TRUE,FALSE,Jason,Crow,male,D,TRUE,187639,54.1
COH06,TRUE,FALSE,Mike,Coffman,male,R,FALSE,148685,42.9
COH07,FALSE,FALSE,Ed,Perlmutter,male,D,TRUE,204282,60.4
COH07,FALSE,FALSE,Mark,Barrington,male,R,FALSE,119749,35.4
CTH01,FALSE,FALSE,John,Larson,male,D,TRUE,174217,63.5
CTH01,FALSE,FALSE,Jennifer,Nye,female,R,FALSE,96973,35.4
CTH02,FALSE,FALSE,Joe,Courtney,male,D,TRUE,180537,62.2
CTH02,FALSE,FALSE,Dan,Postemski,male,R,FALSE,102701,35.4
CTH03,FALSE,FALSE,Rosa,DeLauro,female,D,TRUE,174408,64.6
CTH03,FALSE,FALSE,Angel,Cadena,male,R,FALSE,95775,35.4
CTH04,FALSE,FALSE,Jim,Himes,male,D,TRUE,168726,61.2
CTH04,FALSE,FALSE,Harry,Arora,male,R,FALSE,106921,38.8
CTH05,FALSE,FALSE,Jahana,Hayes,female,D,TRUE,152125,55.9
CTH05,FALSE,FALSE,Manny,Santos,male,R,FALSE,120137,44.1
DEH01,FALSE,FALSE,Lisa,Blunt Rochester,female,D,TRUE,227353,64.5
DEH01,FALSE,FALSE,Scott,Walker,male,R,FALSE,125384,35.5
FLH01,FALSE,FALSE,Matt,Gaetz,male,R,TRUE,216189,67.1
FLH01,FALSE,FALSE,Jennifer,Zimmerman,female,D,FALSE,106199,32.9
FLH02,FALSE,FALSE,Neal,Dunn,male,R,TRUE,199335,67.4
FLH02,FALSE,FALSE,Bob,Rackleff,male,D,FALSE,96233,32.6
FLH03,FALSE,FALSE,Ted,Yoho,male,R,TRUE,176616,57.6
FLH03,FALSE,FALSE,Yvonne,Hayes Hinson,female,D,FALSE,129880,42.4
FLH04,FALSE,FALSE,John,Rutherford,male,R,TRUE,248420,65.2
FLH04,FALSE,FALSE,Ges,Selmont,male,D,FALSE,123351,32.4
FLH05,FALSE,FALSE,Al,Lawson,male,D,TRUE,180527,66.8
FLH05,FALSE,FALSE,Virginia,Fuller,female,R,FALSE,89799,33.2
FLH06,TRUE,FALSE,Michael,Waltz,male,R,TRUE,187891,56.3
FLH06,TRUE,FALSE,Nancy,Soderberg,female,D,FALSE,145758,43.7
FLH07,FALSE,FALSE,Stephanie,Murphy,female,D,TRUE,183113,57.7
FLH07,FALSE,FALSE,Mike,Miller,male,R,FALSE,134285,42.3
FLH08,FALSE,FALSE,Bill,Posey,male,R,TRUE,218112,60.5
FLH08,FALSE,FALSE,Sanjay,Patel,male,D,FALSE,142415,39.5
FLH09,FALSE,FALSE,Darren,Soto,male,D,TRUE,172172,58
FLH09,FALSE,FALSE,Wayne,Liebnitzky,male,R,FALSE,124565,42
FLH10,FALSE,TRUE,Val,Demings,female,D,TRUE,0,0
FLH11,FALSE,FALSE,Daniel,Webster,male,R,TRUE,239395,65.2
FLH11,FALSE,FALSE,Dana,Cottrell,female,D,FALSE,128053,34.8
FLH12,FALSE,FALSE,Gus,Bilirakis,male,R,TRUE,194564,58.1
FLH12,FALSE,FALSE,Chris,Hunter,male,D,FALSE,132844,39.7
FLH13,FALSE,FALSE,Charlie,Crist,male,D,TRUE,182717,57.6
FLH13,FALSE,FALSE,George,Buck,male,R,FALSE,134254,42.4
FLH14,FALSE,TRUE,Kathy,Castor,female,D,TRUE,0,0
FLH15,TRUE,FALSE,Ross,Spano,male,R,TRUE,151380,53
FLH15,TRUE,FALSE,Kristen,Carlson,female,D,FALSE,134132,47
FLH16,TRUE,FALSE,Vern,Buchanan,male,R,TRUE,197483,54.6
FLH16,TRUE,FALSE,David,Shapiro,male,D,FALSE,164463,45.4
FLH17,FALSE,FALSE,Greg,Steube,male,R,TRUE,193326,62.3
FLH17,FALSE,FALSE,April,Freeman,female,D,FALSE,117194,37.7
FLH18,TRUE,FALSE,Brian,Mast,male,R,TRUE,185905,54.3
FLH18,TRUE,FALSE,Lauren,Baer,female,D,FALSE,156454,45.7
FLH19,FALSE,FALSE,Francis,Rooney,male,R,TRUE,211465,62.3
FLH19,FALSE,FALSE,David,Holden,male,D,FALSE,128106,37.7
FLH20,FALSE,TRUE,Alcee,Hastings,male,D,TRUE,202635,99.9
FLH21,FALSE,TRUE,Lois,Frankel,female,D,TRUE,0,0
FLH22,FALSE,FALSE,Ted,Deutch,male,D,TRUE,184634,62
FLH22,FALSE,FALSE,Nicolas,Kimaz,male,R,FALSE,113049,38
FLH23,FALSE,FALSE,Debbie,Wasserman Schultz,female,D,TRUE,161611,58.5
FLH23,FALSE,FALSE,Joe,Kaufman,male,R,FALSE,99446,36
